element	sub_element	const_type	na	ab	bc	cd	de
Roofs	DRAINAGE	FLAT ROOF - OTHER METAL	0.5	0.04969	0.08282	0.19876	0.33126
Roofs	DRAINAGE	FLAT ROOF - PLASTIC	0.5	0.06957	0.11594	0.27826	0.46377
FLOORS AND STAIRS	Floors -  Screed & finish  	SOFTWOOD BOARDING	0.5	0.0641	0.08547	0.12821	0.25641
FLOORS AND STAIRS	Floors -  Screed & finish  	Hardwood strip / wood block / sprung flooring	0.5	0.0641	0.08547	0.12821	0.25641
CEILINGS	Generally	Suspended ceiling; timber boarding / panels	0.5	0.0641	0.08547	0.12821	0.25641
CEILINGS	Generally	Suspended ceiling; fibreboard / acoustic tiles	0.5	0.07692	0.10256	0.15385	0.30769
CEILINGS	Generally	Suspended ceiling; metal tiles	0.5	0.07692	0.10256	0.15385	0.30769
"External Walls, Windows and Doors"	WALLS - STRUCTURE	CONCRETE / BRICK / BLOCK WITH RAINSCREEN CLADDING	0.5	0.02667	0.04444	0.10667	0.17778
"External Walls, Windows and Doors"	WALLS - STRUCTURE	TIMBER FRAMED CURTAIN WALLING	0.5	0.05333	0.08889	0.21333	0.35556
"External Walls, Windows and Doors"	WALLS - STRUCTURE	METAL FRAMED CURTAIN WALLING	0.5	0.04	0.06667	0.16	0.26667
"External Walls, Windows and Doors"	WALLS - STRUCTURE	FRAMELESS GLAZING	0.5	0.04571	0.07619	0.18286	0.30476
"External Walls, Windows and Doors"	Walls - External finishes	Profiled ffibreglass / GRP / plastic / composite / metal sheet	0.5	0.08	0.10667	0.16	0.32
"External Walls, Windows and Doors"	Walls - External finishes	FLAT METAL SHEET / PANELS	0.5	0.02985	0.0398	0.0597	0.1194
"External Walls, Windows and Doors"	Walls - External finishes	Flat ffibreglass / GRP / plastic / composite in sheet / panels	0.5	0.08	0.10667	0.16	0.32
"External Walls, Windows and Doors"	Walls - Internal finishes	FIBREBOARD / ACOUSTIC LINING	0.5	0.05714	0.07619	0.11429	0.22857
"External Walls, Windows and Doors"	Walls - Internal finishes	PLASTIC	0.5	0.1	0.13333	0.2	0.4
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	GLAZED SCREEN	0.5	0.06154	0.10256	0.24615	0.41026
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	SLIDING / FOLDING PARTITION	0.5	0.06154	0.10256	0.24615	0.41026
INTERNAL WALLS AND DOORS	Walls and partitions finishes	FIBREBOARD / ACOUSTIC LINING	0.5	0.07123	0.09497	0.14245	0.2849
FLOORS AND STAIRS	Floors -  Screed & finish  	CONCRETE / UNFINISHED SCREED / FLOOR PAINT	0.5	0.04274	0.05698	0.08547	0.17094
FLOORS AND STAIRS	Suspended floors - Structure	GENERALLY	0.5	0.02797	0.04662	0.11189	0.18648
"External Walls, Windows and Doors"	Walls - External finishes	PROFILED FIBREGLASS / GRP / PLASTIC / COMPOSITE SHEET/PROFILED METAL SHEET	0.5	0.08	0.10667	0.16	0.32
